node_id,t,budget,K,ep_utility,ac_utility
0,1,2400,5,71.41200000000002,36
1,1,2400,5,110.33999999999995,54
2,1,2400,5,58.15800000000002,27
3,1,2400,5,66.87000000000003,35
4,1,2400,5,47.556000000000004,20
0,2,2400,5,80.51999999999995,36
1,2,2400,5,109.25999999999998,55
2,2,2400,5,61.14599999999998,27
3,2,2400,5,59.21999999999999,34
4,2,2400,5,38.040000000000006,21
0,3,2400,5,72.42400000000002,30
1,3,2400,5,105.21000000000002,45
2,3,2400,5,63.773999999999994,39
3,3,2400,5,56.91599999999999,27
4,3,2400,5,36.959999999999994,18
0,4,2400,5,78.89199999999998,39
1,4,2400,5,111.56999999999994,59
2,4,2400,5,57.51,27
3,4,2400,5,59.25600000000002,37
4,4,2400,5,39.828,18
0,5,2400,5,71.19199999999998,31
1,5,2400,5,111.18000000000006,64
2,5,2400,5,73.8,39
3,5,2400,5,58.5,31
4,5,2400,5,44.73600000000001,20
0,6,2400,5,84.61200000000005,41
1,6,2400,5,103.37999999999997,50
2,6,2400,5,61.344000000000015,33
3,6,2400,5,64.13400000000003,30
4,6,2400,5,43.211999999999996,21
0,7,2400,5,80.036,47
1,7,2400,5,100.02000000000005,52
2,7,2400,5,68.54399999999998,33
3,7,2400,5,58.37400000000001,23
4,7,2400,5,44.903999999999996,16
0,8,2400,5,81.59800000000004,43
1,8,2400,5,102.20999999999992,46
2,8,2400,5,64.72800000000004,34
3,8,2400,5,64.71,35
4,8,2400,5,47.196,23
0,9,2400,5,83.07199999999995,32
1,9,2400,5,96.11999999999993,45
2,9,2400,5,68.166,39
3,9,2400,5,67.08599999999997,35
4,9,2400,5,44.112000000000016,27
0,10,2400,5,86.10800000000002,42
1,10,2400,5,104.94000000000004,46
2,10,2400,5,64.71,35
3,10,2400,5,63.36000000000003,29
4,10,2400,5,17.580000000000002,9
0,11,2400,5,81.13600000000002,42
1,11,2400,5,108.39,47
2,11,2400,5,55.27799999999999,32
3,11,2400,5,60.22800000000004,32
4,11,2400,5,0,0
0,12,2400,5,88.83599999999996,50
1,12,2400,5,104.58000000000003,52
2,12,2400,5,54.54000000000001,24
3,12,2400,5,63.12599999999999,34
4,12,2400,5,0,0
0,1,2400,6,90.57400000000001,43
1,1,2400,6,135.0,71
2,1,2400,6,69.21,41
3,1,2400,6,63.773999999999994,34
4,1,2400,6,53.25600000000001,31
0,2,2400,6,89.89199999999998,51
1,2,2400,6,130.49999999999994,65
2,2,2400,6,69.966,37
3,2,2400,6,74.358,36
4,2,2400,6,46.907999999999994,26
0,3,2400,6,94.59999999999997,42
1,3,2400,6,123.08999999999993,58
2,3,2400,6,80.64000000000004,31
3,3,2400,6,70.83000000000003,39
4,3,2400,6,50.24399999999999,29
0,4,2400,6,96.40400000000001,50
1,4,2400,6,147.57,68
2,4,2400,6,65.35800000000002,33
3,4,2400,6,73.40400000000002,32
4,4,2400,6,45.887999999999984,23
0,5,2400,6,95.41400000000004,45
1,5,2400,6,115.74000000000004,57
2,5,2400,6,73.99800000000005,38
3,5,2400,6,68.49000000000001,27
4,5,2400,6,50.66400000000001,31
0,6,2400,6,106.94200000000006,54
1,6,2400,6,126.59999999999998,67
2,6,2400,6,84.52799999999998,40
3,6,2400,6,73.692,40
4,6,2400,6,43.524,14
0,7,2400,6,86.59200000000004,45
1,7,2400,6,127.89000000000006,60
2,7,2400,6,82.49399999999999,40
3,7,2400,6,64.29600000000002,29
4,7,2400,6,46.77599999999998,21
0,8,2400,6,95.41400000000004,48
1,8,2400,6,124.79999999999993,60
2,8,2400,6,88.30800000000002,48
3,8,2400,6,70.66800000000002,34
4,8,2400,6,39.792,20
0,9,2400,6,91.54200000000002,52
1,9,2400,6,121.8300000000001,58
2,9,2400,6,70.97399999999999,33
3,9,2400,6,66.97800000000004,37
4,9,2400,6,0,0
0,10,2400,6,98.20799999999998,46
1,10,2400,6,128.61000000000007,69
2,10,2400,6,81.91800000000002,42
3,10,2400,6,76.284,41
4,10,2400,6,0,0
0,11,2400,6,91.56400000000004,53
1,11,2400,6,138.83999999999997,73
2,11,2400,6,68.00399999999999,33
3,11,2400,6,0,0
4,11,2400,6,0,0
0,12,2400,6,85.07400000000001,46
1,12,2400,6,112.89000000000006,55
2,12,2400,6,0,0
3,12,2400,6,0,0
4,12,2400,6,0,0
0,1,2400,7,96.97600000000001,58
1,1,2400,7,128.16000000000005,70
2,1,2400,7,82.15199999999999,43
3,1,2400,7,97.164,51
4,1,2400,7,60.035999999999994,29
0,2,2400,7,100.36399999999996,47
1,2,2400,7,140.82000000000002,73
2,2,2400,7,86.20200000000001,44
3,2,2400,7,82.764,39
4,2,2400,7,54.63599999999999,29
0,3,2400,7,100.80399999999995,45
1,3,2400,7,146.07000000000002,66
2,3,2400,7,90.18,42
3,3,2400,7,78.06600000000003,32
4,3,2400,7,56.616000000000014,30
0,4,2400,7,91.69600000000004,47
1,4,2400,7,144.57000000000002,68
2,4,2400,7,87.83999999999995,39
3,4,2400,7,85.64399999999999,41
4,4,2400,7,58.81199999999998,29
0,5,2400,7,97.50400000000003,52
1,5,2400,7,148.59000000000006,68
2,5,2400,7,89.10000000000002,38
3,5,2400,7,79.84800000000001,34
4,5,2400,7,55.26000000000002,32
0,6,2400,7,105.20399999999995,45
1,6,2400,7,144.98999999999998,71
2,6,2400,7,85.51800000000001,40
3,6,2400,7,83.01599999999999,37
4,6,2400,7,0,0
0,7,2400,7,108.32800000000006,60
1,7,2400,7,142.82999999999996,73
2,7,2400,7,86.21999999999997,37
3,7,2400,7,70.97399999999999,38
4,7,2400,7,0,0
0,8,2400,7,102.25599999999994,54
1,8,2400,7,149.45999999999998,66
2,8,2400,7,92.97000000000003,48
3,8,2400,7,86.382,41
4,8,2400,7,0,0
0,9,2400,7,96.93200000000003,45
1,9,2400,7,141.11999999999992,64
2,9,2400,7,90.23400000000002,48
3,9,2400,7,88.36200000000002,48
4,9,2400,7,0,0
0,10,2400,7,107.75599999999994,56
1,10,2400,7,166.62000000000003,83
2,10,2400,7,23.112,14
3,10,2400,7,87.44400000000005,50
4,10,2400,7,0,0
0,11,2400,7,96.62399999999994,42
1,11,2400,7,149.13000000000008,80
2,11,2400,7,0,0
3,11,2400,7,0,0
4,11,2400,7,0,0
0,12,2400,7,97.85600000000005,46
1,12,2400,7,159.80999999999997,74
2,12,2400,7,0,0
3,12,2400,7,0,0
4,12,2400,7,0,0
0,1,2400,8,118.84400000000001,59
1,1,2400,8,151.16999999999996,70
2,1,2400,8,103.77000000000001,60
3,1,2400,8,108.77400000000004,56
4,1,2400,8,62.00400000000001,31
0,2,2400,8,128.06199999999998,66
1,2,2400,8,164.0699999999999,74
2,2,2400,8,107.37000000000003,54
3,2,2400,8,102.45600000000006,49
4,2,2400,8,63.90000000000003,30
0,3,2400,8,106.30399999999995,42
1,3,2400,8,146.30999999999997,79
2,3,2400,8,91.49399999999999,55
3,3,2400,8,102.68999999999998,50
4,3,2400,8,59.34,26
0,4,2400,8,123.948,59
1,4,2400,8,155.61000000000004,89
2,4,2400,8,103.752,51
3,4,2400,8,106.64999999999996,60
4,4,2400,8,50.18400000000002,27
0,5,2400,8,103.64199999999998,48
1,5,2400,8,162.05999999999992,75
2,5,2400,8,100.872,45
3,5,2400,8,103.24800000000005,50
4,5,2400,8,0,0
0,6,2400,8,105.86399999999998,49
1,6,2400,8,153.83999999999992,68
2,6,2400,8,86.11200000000002,44
3,6,2400,8,109.29600000000003,57
4,6,2400,8,0,0
0,7,2400,8,110.10999999999997,54
1,7,2400,8,165.68999999999997,76
2,7,2400,8,83.70000000000002,43
3,7,2400,8,101.87999999999995,49
4,7,2400,8,0,0
0,8,2400,8,114.81799999999996,53
1,8,2400,8,157.10999999999993,81
2,8,2400,8,90.27,42
3,8,2400,8,103.57200000000002,49
4,8,2400,8,0,0
0,9,2400,8,112.90400000000002,63
1,9,2400,8,163.37999999999997,78
2,9,2400,8,42.55199999999999,24
3,9,2400,8,99.12600000000002,52
4,9,2400,8,0,0
0,10,2400,8,107.77800000000002,43
1,10,2400,8,163.98000000000016,90
2,10,2400,8,0,0
3,10,2400,8,21.474000000000004,9
4,10,2400,8,0,0
0,11,2400,8,0,0
1,11,2400,8,174.51000000000013,83
2,11,2400,8,0,0
3,11,2400,8,0,0
4,11,2400,8,0,0
0,12,2400,8,0,0
1,12,2400,8,173.72999999999993,85
2,12,2400,8,0,0
3,12,2400,8,0,0
4,12,2400,8,0,0
0,1,2400,9,140.93200000000007,76
1,1,2400,9,184.11,78
2,1,2400,9,104.36400000000002,55
3,1,2400,9,114.264,62
4,1,2400,9,71.54400000000003,32
0,2,2400,9,136.00400000000002,67
1,2,2400,9,187.68,95
2,2,2400,9,114.67799999999998,53
3,2,2400,9,113.20200000000001,69
4,2,2400,9,67.36799999999998,42
0,3,2400,9,137.12600000000003,67
1,3,2400,9,199.68000000000012,100
2,3,2400,9,104.12999999999997,50
3,3,2400,9,112.19400000000005,52
4,3,2400,9,68.23199999999999,31
0,4,2400,9,142.89000000000004,74
1,4,2400,9,187.38000000000005,92
2,4,2400,9,95.54399999999995,43
3,4,2400,9,111.27600000000002,52
4,4,2400,9,66.3,35
0,5,2400,9,131.69200000000006,60
1,5,2400,9,189.41999999999987,96
2,5,2400,9,102.74399999999999,57
3,5,2400,9,110.50199999999995,61
4,5,2400,9,21.371999999999996,11
0,6,2400,9,141.39399999999992,73
1,6,2400,9,159.51000000000013,82
2,6,2400,9,112.96799999999996,49
3,6,2400,9,118.00799999999997,58
4,6,2400,9,0,0
0,7,2400,9,127.90799999999993,60
1,7,2400,9,171.27000000000007,81
2,7,2400,9,98.35199999999999,51
3,7,2400,9,105.31799999999998,59
4,7,2400,9,0,0
0,8,2400,9,127.22600000000001,58
1,8,2400,9,173.22000000000003,83
2,8,2400,9,70.416,34
3,8,2400,9,110.44799999999998,58
4,8,2400,9,0,0
0,9,2400,9,106.83199999999997,51
1,9,2400,9,182.91000000000003,96
2,9,2400,9,0,0
3,9,2400,9,19.81799999999999,12
4,9,2400,9,0,0
0,10,2400,9,0,0
1,10,2400,9,177.51000000000002,91
2,10,2400,9,0,0
3,10,2400,9,0,0
4,10,2400,9,6.612000000000001,2
0,11,2400,9,0,0
1,11,2400,9,174.92999999999995,87
2,11,2400,9,0,0
3,11,2400,9,0,0
4,11,2400,9,0,0
0,12,2400,9,0,0
1,12,2400,9,166.58999999999995,91
2,12,2400,9,0,0
3,12,2400,9,0,0
4,12,2400,9,0,0
0,1,2400,10,147.31199999999998,76
1,1,2400,10,209.9399999999999,103
2,1,2400,10,120.54600000000003,69
3,1,2400,10,114.93000000000004,55
4,1,2400,10,71.29200000000002,44
0,2,2400,10,142.64799999999997,71
1,2,2400,10,199.38000000000017,98
2,2,2400,10,113.47200000000002,56
3,2,2400,10,121.17599999999999,61
4,2,2400,10,75.024,35
0,3,2400,10,144.93599999999992,72
1,3,2400,10,182.24999999999994,102
2,3,2400,10,128.24999999999997,69
3,3,2400,10,123.06600000000005,56
4,3,2400,10,76.032,43
0,4,2400,10,131.11999999999995,74
1,4,2400,10,193.26000000000013,96
2,4,2400,10,118.818,60
3,4,2400,10,122.14800000000001,53
4,4,2400,10,71.94,35
0,5,2400,10,131.60399999999998,66
1,5,2400,10,198.30000000000015,89
2,5,2400,10,118.24200000000003,54
3,5,2400,10,120.24000000000004,60
4,5,2400,10,51.33599999999999,25
0,6,2400,10,136.66400000000002,81
1,6,2400,10,217.4100000000002,101
2,6,2400,10,114.39000000000004,63
3,6,2400,10,56.10599999999999,33
4,6,2400,10,0,0
0,7,2400,10,139.23800000000008,69
1,7,2400,10,193.5299999999999,94
2,7,2400,10,108.64800000000001,54
3,7,2400,10,10.349999999999998,6
4,7,2400,10,0,0
0,8,2400,10,100.32000000000004,50
1,8,2400,10,195.47999999999996,109
2,8,2400,10,0,0
3,8,2400,10,0,0
4,8,2400,10,0,0
0,9,2400,10,0,0
1,9,2400,10,191.36999999999995,101
2,9,2400,10,0,0
3,9,2400,10,0,0
4,9,2400,10,0,0
0,10,2400,10,0,0
1,10,2400,10,203.4,106
2,10,2400,10,0,0
3,10,2400,10,0,0
4,10,2400,10,0,0
0,11,2400,10,0,0
1,11,2400,10,185.58000000000013,95
2,11,2400,10,11.951999999999998,3
3,11,2400,10,0,0
4,11,2400,10,0,0
0,12,2400,10,0,0
1,12,2400,10,207.15,101
2,12,2400,10,0,0
3,12,2400,10,0,0
4,12,2400,10,0,0
0,1,2400,11,160.31400000000008,74
1,1,2400,11,196.83000000000015,107
2,1,2400,11,125.35199999999998,68
3,1,2400,11,119.86200000000005,49
4,1,2400,11,85.69200000000001,45
0,2,2400,11,150.48000000000002,78
1,2,2400,11,210.96000000000006,101
2,2,2400,11,123.89399999999998,63
3,2,2400,11,133.398,73
4,2,2400,11,80.65199999999999,41
0,3,2400,11,164.56,76
1,3,2400,11,219.05999999999997,117
2,3,2400,11,127.33199999999998,59
3,3,2400,11,126.27,66
4,3,2400,11,77.24399999999999,35
0,4,2400,11,151.40400000000005,87
1,4,2400,11,215.51999999999995,101
2,4,2400,11,120.14999999999996,60
3,4,2400,11,119.80800000000005,66
4,4,2400,11,72.02400000000002,27
0,5,2400,11,162.51399999999998,79
1,5,2400,11,230.25000000000014,117
2,5,2400,11,125.62199999999999,56
3,5,2400,11,131.202,68
4,5,2400,11,0,0
0,6,2400,11,169.59800000000004,86
1,6,2400,11,211.19999999999996,110
2,6,2400,11,131.076,69
3,6,2400,11,132.13799999999995,63
4,6,2400,11,0,0
0,7,2400,11,151.646,75
1,7,2400,11,202.7400000000001,100
2,7,2400,11,80.982,41
3,7,2400,11,83.196,39
4,7,2400,11,0,0
0,8,2400,11,108.46000000000006,45
1,8,2400,11,229.1400000000001,118
2,8,2400,11,10.728,4
3,8,2400,11,14.004000000000005,7
4,8,2400,11,0,0
0,9,2400,11,0,0
1,9,2400,11,222.41999999999985,112
2,9,2400,11,0,0
3,9,2400,11,0,0
4,9,2400,11,0,0
0,10,2400,11,0,0
1,10,2400,11,110.60999999999996,51
2,10,2400,11,0,0
3,10,2400,11,0,0
4,10,2400,11,0,0
0,11,2400,11,0,0
1,11,2400,11,64.94999999999999,36
2,11,2400,11,0,0
3,11,2400,11,0,0
4,11,2400,11,0,0
0,12,2400,11,0,0
1,12,2400,11,0,0
2,12,2400,11,0,0
3,12,2400,11,0,0
4,12,2400,11,0,0
0,1,2400,12,167.06799999999993,78
1,1,2400,12,224.39999999999992,106
2,1,2400,12,144.59399999999997,76
3,1,2400,12,146.66399999999996,77
4,1,2400,12,95.796,42
0,2,2400,12,169.2240000000001,80
1,2,2400,12,229.5000000000001,102
2,2,2400,12,147.76200000000003,69
3,2,2400,12,136.04400000000004,69
4,2,2400,12,100.00800000000002,48
0,3,2400,12,170.25800000000004,95
1,3,2400,12,233.6400000000001,105
2,3,2400,12,145.36799999999994,74
3,3,2400,12,135.918,81
4,3,2400,12,95.80799999999999,46
0,4,2400,12,165.39600000000002,77
1,4,2400,12,222.72000000000014,112
2,4,2400,12,143.87399999999994,74
3,4,2400,12,150.22800000000004,71
4,4,2400,12,7.56,3
0,5,2400,12,162.5800000000001,84
1,5,2400,12,218.43000000000012,112
2,5,2400,12,137.68200000000002,73
3,5,2400,12,146.60999999999999,57
4,5,2400,12,0,0
0,6,2400,12,162.866,81
1,6,2400,12,225.29999999999993,115
2,6,2400,12,142.20000000000005,74
3,6,2400,12,144.5039999999999,71
4,6,2400,12,0,0
0,7,2400,12,156.68400000000003,76
1,7,2400,12,225.29999999999993,109
2,7,2400,12,0,0
3,7,2400,12,0,0
4,7,2400,12,0,0
0,8,2400,12,0,0
1,8,2400,12,230.2500000000001,119
2,8,2400,12,0,0
3,8,2400,12,0,0
4,8,2400,12,0,0
0,9,2400,12,0,0
1,9,2400,12,218.18999999999994,119
2,9,2400,12,0,0
3,9,2400,12,0,0
4,9,2400,12,0,0
0,10,2400,12,0,0
1,10,2400,12,133.73999999999998,68
2,10,2400,12,0,0
3,10,2400,12,0,0
4,10,2400,12,0,0
0,11,2400,12,0,0
1,11,2400,12,0,0
2,11,2400,12,0,0
3,11,2400,12,0,0
4,11,2400,12,0,0
0,12,2400,12,0,0
1,12,2400,12,0,0
2,12,2400,12,9.252,5
3,12,2400,12,0,0
4,12,2400,12,0,0
0,1,2400,13,182.48999999999992,89
1,1,2400,13,237.36000000000013,120
2,1,2400,13,154.6380000000001,75
3,1,2400,13,146.4299999999999,69
4,1,2400,13,99.91199999999998,48
0,2,2400,13,170.98399999999998,96
1,2,2400,13,251.4600000000001,128
2,2,2400,13,160.84800000000007,76
3,2,2400,13,147.18599999999992,68
4,2,2400,13,107.18400000000001,49
0,3,2400,13,169.24600000000004,74
1,3,2400,13,261.02999999999986,131
2,3,2400,13,149.43599999999992,78
3,3,2400,13,142.99200000000002,73
4,3,2400,13,108.02399999999999,52
0,4,2400,13,180.20200000000003,85
1,4,2400,13,237.44999999999982,135
2,4,2400,13,158.04000000000002,81
3,4,2400,13,147.924,76
4,4,2400,13,11.652000000000001,5
0,5,2400,13,173.46999999999997,88
1,5,2400,13,242.06999999999985,114
2,5,2400,13,154.62000000000003,82
3,5,2400,13,140.95800000000003,77
4,5,2400,13,0,0
0,6,2400,13,172.87600000000006,95
1,6,2400,13,238.8599999999999,124
2,6,2400,13,88.30800000000002,37
3,6,2400,13,72.99000000000001,32
4,6,2400,13,0,0
0,7,2400,13,174.54799999999997,98
1,7,2400,13,239.82,115
2,7,2400,13,0,0
3,7,2400,13,0,0
4,7,2400,13,0,0
0,8,2400,13,28.643999999999995,17
1,8,2400,13,255.90000000000003,127
2,8,2400,13,0,0
3,8,2400,13,0,0
4,8,2400,13,0,0
0,9,2400,13,0,0
1,9,2400,13,186.84000000000003,95
2,9,2400,13,0,0
3,9,2400,13,0,0
4,9,2400,13,0,0
0,10,2400,13,0,0
1,10,2400,13,0,0
2,10,2400,13,0,0
3,10,2400,13,0,0
4,10,2400,13,0,0
0,11,2400,13,0,0
1,11,2400,13,0,0
2,11,2400,13,0,0
3,11,2400,13,0,0
4,11,2400,13,0,0
0,12,2400,13,0,0
1,12,2400,13,0,0
2,12,2400,13,0,0
3,12,2400,13,0,0
4,12,2400,13,0,0
0,1,2400,14,182.16,90
1,1,2400,14,261.96,139
2,1,2400,14,178.99199999999996,95
3,1,2400,14,168.1380000000001,87
4,1,2400,14,111.33600000000003,56
0,2,2400,14,171.73200000000003,73
1,2,2400,14,284.5500000000002,144
2,2,2400,14,154.54800000000003,88
3,2,2400,14,170.37000000000003,92
4,2,2400,14,102.26400000000002,49
0,3,2400,14,185.96600000000004,90
1,3,2400,14,267.59999999999985,143
2,3,2400,14,157.35600000000002,81
3,3,2400,14,167.31000000000006,68
4,3,2400,14,107.78399999999999,53
0,4,2400,14,179.32200000000003,99
1,4,2400,14,273.6000000000001,127
2,4,2400,14,156.33,80
3,4,2400,14,161.80200000000002,86
4,4,2400,14,0,0
0,5,2400,14,171.9740000000001,81
1,5,2400,14,263.00999999999993,128
2,5,2400,14,170.54999999999995,92
3,5,2400,14,135.702,71
4,5,2400,14,0,0
0,6,2400,14,172.01799999999997,89
1,6,2400,14,257.9699999999999,144
2,6,2400,14,8.586000000000002,2
3,6,2400,14,0,0
4,6,2400,14,0,0
0,7,2400,14,40.414000000000016,14
1,7,2400,14,287.8500000000001,142
2,7,2400,14,0,0
3,7,2400,14,0,0
4,7,2400,14,0,0
0,8,2400,14,0,0
1,8,2400,14,269.1,133
2,8,2400,14,0,0
3,8,2400,14,0,0
4,8,2400,14,0,0
0,9,2400,14,0,0
1,9,2400,14,271.70999999999987,138
2,9,2400,14,0,0
3,9,2400,14,0,0
4,9,2400,14,0,0
0,10,2400,14,0,0
1,10,2400,14,38.91,19
2,10,2400,14,0,0
3,10,2400,14,0,0
4,10,2400,14,0,0
0,11,2400,14,0,0
1,11,2400,14,0,0
2,11,2400,14,0,0
3,11,2400,14,0,0
4,11,2400,14,0,0
0,12,2400,14,0,0
1,12,2400,14,0,0
2,12,2400,14,0,0
3,12,2400,14,0,0
4,12,2400,14,0,0
0,1,2400,15,211.24400000000003,106
1,1,2400,15,283.2,133
2,1,2400,15,171.21599999999998,99
3,1,2400,15,170.42399999999998,88
4,1,2400,15,117.504,59
0,2,2400,15,205.21600000000004,95
1,2,2400,15,279.00000000000017,131
2,2,2400,15,168.22800000000004,80
3,2,2400,15,157.46400000000003,86
4,2,2400,15,118.40400000000004,56
