,Trip Seconds,Fare,Latitude,Longitude,credit
0,420.0,5.85,41.880994471,-87.632746489,0.581
1,180.0,4.45,41.880994471,-87.632746489,0.747
2,300.0,5.25,41.884987192,-87.620992913,0.763
3,420.0,6.25,41.880994471,-87.632746489,0.616
4,300.0,4.85,41.880994471,-87.632746489,0.422
5,180.0,4.45,41.880994471,-87.632746489,0.541
6,240.0,5.00,41.877406123,-87.62197165200001,0.733
7,480.0,6.05,41.880994471,-87.632746489,0.782
8,420.0,5.75,41.880994471,-87.632746489,0.644
9,300.0,5.25,41.880994471,-87.632746489,0.591
10,360.0,6.00,41.884987192,-87.620992913,0.459
11,240.0,5.25,41.884987192,-87.620992913,0.457
12,180.0,4.45,41.880994471,-87.632746489,0.657
13,360.0,5.65,41.877406123,-87.62197165200001,0.649
14,600.0,7.05,41.884987192,-87.620992913,0.493
15,0.0,3.25,41.880994471,-87.632746489,0.416
16,360.0,6.05,41.880994471,-87.632746489,0.57
17,300.0,5.45,41.884987192,-87.620992913,0.416
18,300.0,5.25,41.880994471,-87.632746489,0.575
19,600.0,7.00,41.880994471,-87.632746489,0.568
20,480.0,6.25,41.880994471,-87.632746489,0.72
21,300.0,5.25,41.884987192,-87.620992913,0.555
22,480.0,7.45,41.877406123,-87.62197165200001,0.721
23,420.0,6.05,41.878865584,-87.625192142,0.63
24,60.0,3.65,41.880994471,-87.632746489,0.613
25,480.0,6.25,41.880994471,-87.632746489,0.699
26,720.0,7.45,41.884987192,-87.620992913,0.406
27,300.0,5.45,41.884987192,-87.620992913,0.419
28,600.0,7.00,41.884987192,-87.620992913,0.616
29,1080.0,9.85,41.880994471,-87.632746489,0.592
30,300.0,6.00,41.884987192,-87.620992913,0.773
31,420.0,5.85,41.880994471,-87.632746489,0.768
32,960.0,10.45,41.880994471,-87.632746489,0.627
33,780.0,8.44,41.884987192,-87.620992913,0.65
34,360.0,5.75,41.880994471,-87.632746489,0.739
35,180.0,4.65,41.884987192,-87.620992913,0.618
36,180.0,4.45,41.880994471,-87.632746489,0.751
37,600.0,7.05,41.884987192,-87.620992913,0.489
38,240.0,4.85,41.880994471,-87.632746489,0.691
39,420.0,6.00,41.880994471,-87.632746489,0.548
40,360.0,5.75,41.884987192,-87.620992913,0.54
41,660.0,8.05,41.880994471,-87.632746489,0.786
42,540.0,6.65,41.884987192,-87.620992913,0.432
43,420.0,6.25,41.880994471,-87.632746489,0.568
44,240.0,4.85,41.880994471,-87.632746489,0.749
45,420.0,6.50,41.884987192,-87.620992913,0.47
46,180.0,4.65,41.884987192,-87.620992913,0.774
47,180.0,4.50,41.884987192,-87.620992913,0.698
48,240.0,4.84,41.877406123,-87.62197165200001,0.596
49,540.0,6.45,41.880994471,-87.632746489,0.78
50,780.0,8.65,41.884987192,-87.620992913,0.444
51,300.0,5.05,41.877406123,-87.62197165200001,0.5
52,480.0,6.25,41.877406123,-87.62197165200001,0.745
53,600.0,7.05,41.880994471,-87.632746489,0.441
54,360.0,5.45,41.880994471,-87.632746489,0.478
55,360.0,5.85,41.884987192,-87.620992913,0.687
56,480.0,5.85,41.880994471,-87.632746489,0.498
57,720.0,7.45,41.880994471,-87.632746489,0.524
58,360.0,5.75,41.880994471,-87.632746489,0.667
59,600.0,6.85,41.880994471,-87.632746489,0.66
60,180.0,4.25,41.884987192,-87.620992913,0.681
61,120.0,4.05,41.877406123,-87.62197165200001,0.73
62,540.0,7.00,41.880994471,-87.632746489,0.771
63,420.0,5.65,41.880994471,-87.632746489,0.64
64,60.0,3.25,41.884987192,-87.620992913,0.537
65,240.0,4.65,41.880994471,-87.632746489,0.419
66,240.0,4.65,41.884987192,-87.620992913,0.498
67,360.0,5.50,41.884987192,-87.620992913,0.437
68,660.0,7.45,41.880994471,-87.632746489,0.486
69,2700.0,34.00,41.880994471,-87.632746489,0.685
70,420.0,5.65,41.880994471,-87.632746489,0.663
71,840.0,8.65,41.880994471,-87.632746489,0.651
72,480.0,6.65,41.880994471,-87.632746489,0.411
73,540.0,6.65,41.880994471,-87.632746489,0.784
74,420.0,5.65,41.880994471,-87.632746489,0.485
75,0.0,3.25,41.877406123,-87.62197165200001,0.513
76,300.0,5.05,41.884987192,-87.620992913,0.485
77,420.0,5.85,41.884987192,-87.620992913,0.758
78,300.0,4.85,41.884987192,-87.620992913,0.638
79,240.0,4.65,41.880994471,-87.632746489,0.478
80,180.0,4.85,41.877406123,-87.62197165200001,0.734
81,60.0,4.05,41.880994471,-87.632746489,0.738
82,360.0,6.25,41.880994471,-87.632746489,0.793
83,180.0,4.25,41.877406123,-87.62197165200001,0.682
84,360.0,5.65,41.884987192,-87.620992913,0.521
85,180.0,5.05,41.884987192,-87.620992913,0.527
86,420.0,6.45,41.880994471,-87.632746489,0.462
87,300.0,5.05,41.884987192,-87.620992913,0.741
88,660.0,8.75,41.884987192,-87.620992913,0.539
89,360.0,6.25,41.884987192,-87.620992913,0.618
90,60.0,3.25,41.880994471,-87.632746489,0.451
91,300.0,5.25,41.880994471,-87.632746489,0.713
92,120.0,4.05,41.884987192,-87.620992913,0.631
93,240.0,5.50,41.884987192,-87.620992913,0.423
94,360.0,5.65,41.884987192,-87.620992913,0.419
95,120.0,4.05,41.880994471,-87.632746489,0.577
96,300.0,4.84,41.880994471,-87.632746489,0.641
97,480.0,6.25,41.880994471,-87.632746489,0.545
98,420.0,6.05,41.880994471,-87.632746489,0.704
99,420.0,6.00,41.880994471,-87.632746489,0.64
100,300.0,5.45,41.880994471,-87.632746489,0.685
101,360.0,5.65,41.877406123,-87.62197165200001,0.693
102,300.0,5.25,41.880994471,-87.632746489,0.587
