node_id,t,budget,K,ep_utility,ac_utility
0,1,2400,5,94.05000000000003,42
1,1,2400,5,131.73000000000008,63
2,1,2400,5,75.67200000000003,41
3,1,2400,5,84.76200000000003,44
4,1,2400,5,48.779999999999994,24
0,2,2400,5,98.73443743858435,48
1,2,2400,5,138.1178692344332,68
2,2,2400,5,74.40870282593002,43
3,2,2400,5,88.59472154065989,43
4,2,2400,5,51.33514769377328,25
0,3,2400,5,98.77980572345541,52
1,3,2400,5,138.17973507743918,64
2,3,2400,5,74.41806077335222,34
3,3,2400,5,88.63184104646353,41
4,3,2400,5,51.35989403097571,25
0,4,2400,5,98.73443743858435,42
1,4,2400,5,138.1178692344332,75
2,4,2400,5,74.36984428251628,40
3,4,2400,5,88.59472154065989,45
4,4,2400,5,51.33514769377328,18
0,5,2400,5,98.67238084638252,49
1,5,2400,5,138.03324660870342,65
2,5,2400,5,74.31292276278897,39
3,5,2400,5,88.54394796522205,43
4,5,2400,5,51.301298643481374,22
0,6,2400,5,98.60799216123468,49
1,6,2400,5,137.9454438562291,65
2,6,2400,5,74.25627417922824,39
3,6,2400,5,88.49126631373743,40
4,6,2400,5,51.266177542491626,25
0,7,2400,5,98.5452291382838,51
1,7,2400,5,137.85985791584156,64
2,7,2400,5,74.20212375412883,35
3,7,2400,5,88.43991474950494,48
4,7,2400,5,51.231943166336606,29
0,8,2400,5,98.48526088724122,46
1,8,2400,5,137.77808302805622,72
2,8,2400,5,74.1509643462343,33
3,8,2400,5,88.3908498168337,43
4,8,2400,5,51.199233211222435,27
0,9,2400,5,98.4283444505272,56
1,9,2400,5,129.56172012778777,68
2,9,2400,5,74.10276217852966,42
3,9,2400,5,88.34428182315861,44
4,9,2400,5,51.16818788210576,27
0,10,2400,5,98.3744117469149,44
1,10,2400,5,137.6488667596571,76
2,10,2400,5,74.05732005579435,36
3,10,2400,5,88.30015506565769,43
4,10,2400,5,51.13877004377178,24
0,11,2400,5,98.32328055757293,53
1,11,2400,5,137.57733474294926,76
2,11,2400,5,74.01440084576954,39
3,11,2400,5,88.25832045619603,44
4,11,2400,5,51.11088030413071,27
0,12,2400,5,98.27473664384489,48
1,12,2400,5,137.50961902346657,75
2,12,2400,5,79.30730664741623,40
3,12,2400,5,88.21860270860037,39
4,12,2400,5,51.08440180573354,26
0,1,2400,6,106.37000000000006,54
1,1,2400,6,150,73
2,1,2400,6,90,46
3,1,2400,6,88.20000000000002,39
4,1,2400,6,58.08000000000002,27
0,2,2400,6,110,52
1,2,2400,6,150,84
2,2,2400,6,90,42
3,2,2400,6,90,44
4,2,2400,6,59.703659832915555,33
0,3,2400,6,110,58
1,3,2400,6,150,81
2,3,2400,6,90,46
3,3,2400,6,90,47
4,3,2400,6,59.714022854064105,32
0,4,2400,6,110,50
1,4,2400,6,150,81
2,4,2400,6,90,52
3,4,2400,6,90,42
4,4,2400,6,59.67775413730636,33
0,5,2400,6,110,63
1,5,2400,6,150,79
2,5,2400,6,90,52
3,5,2400,6,90,44
4,5,2400,6,59.63416494910618,32
0,6,2400,6,110,54
1,6,2400,6,150,75
2,6,2400,6,90,45
3,6,2400,6,90,49
4,6,2400,6,59.59054570990076,35
0,7,2400,6,110,60
1,7,2400,6,150,76
2,7,2400,6,90,46
3,7,2400,6,90,41
4,7,2400,6,59.54873969714202,27
0,8,2400,6,110,58
1,8,2400,6,150,76
2,8,2400,6,90,50
3,8,2400,6,90,43
4,8,2400,6,59.509181766026636,27
0,9,2400,6,110,54
1,9,2400,6,150,72
2,9,2400,6,90,51
3,9,2400,6,90,41
4,9,2400,6,59.471872766037386,27
0,10,2400,6,110,54
1,10,2400,6,150,85
2,10,2400,6,90,45
3,10,2400,6,90,43
4,10,2400,6,59.43667504449149,28
0,11,2400,6,109.94025890442491,53
1,11,2400,6,150,82
2,11,2400,6,90,53
3,11,2400,6,90,47
4,11,2400,6,51.4348803041307,25
0,12,2400,6,109.88251005784963,57
1,12,2400,6,150,84
2,12,2400,6,90,51
3,12,2400,6,90,45
4,12,2400,6,8.112066967622257,3
